question_idx,question,method,recall_at_5,ndcg_at_5,evidence_hit_rate,redundancy_score,avg_pairwise_similarity,prompt_token_count,budget_utilization,rouge_l,keyword_support_rate
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,similarity,1.0,1.0,1.0,0.6040036295141492,0.6040036295141492,1078,0.8983333333333333,0.29999999999999993,1.0
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,mmr,1.0,1.0,1.0,0.5018131924527032,0.5018131924527032,1200,1.0,0.4225352112676056,0.896551724137931
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,litepack,1.0,1.0,1.0,0.5388403002704892,0.5388403002704892,1126,0.9383333333333334,0.29999999999999993,1.0
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,similarity,1.0,1.0,1.0,0.714226422565324,0.714226422565324,1157,0.9641666666666666,0.37142857142857144,0.927536231884058
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,mmr,1.0,1.0,1.0,0.6522272942321641,0.6522272942321641,1134,0.945,0.19298245614035084,0.9183673469387755
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,litepack,1.0,1.0,1.0,0.6469704551356179,0.6469704551356179,1157,0.9641666666666666,0.20512820512820512,0.9230769230769231
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,similarity,1.0,1.0,1.0,0.5888909611437055,0.5888909611437055,1172,0.9766666666666667,0.4689655172413793,0.8481012658227848
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,mmr,1.0,1.0,1.0,0.5451329655117458,0.5451329655117458,1148,0.9566666666666667,0.4755244755244756,0.8461538461538461
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,litepack,1.0,1.0,1.0,0.5871722247865465,0.5871722247865465,1114,0.9283333333333333,0.4689655172413793,0.8875
4,What are the key drivers associated with burnout among public safety personnel?,similarity,1.0,1.0,1.0,0.638105984363291,0.638105984363291,1128,0.94,0.6,0.8448275862068966
4,What are the key drivers associated with burnout among public safety personnel?,mmr,1.0,1.0,1.0,0.5714913043710921,0.5714913043710921,1199,0.9991666666666666,0.923076923076923,0.9
4,What are the key drivers associated with burnout among public safety personnel?,litepack,1.0,1.0,1.0,0.6274302634927962,0.6274302634927962,1115,0.9291666666666667,0.923076923076923,0.896551724137931
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,similarity,1.0,1.0,1.0,0.5996637634105153,0.5996637634105153,1190,0.9916666666666667,0.3287671232876712,0.8641975308641975
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,mmr,1.0,1.0,1.0,0.5818154331710603,0.5818154331710603,1187,0.9891666666666666,0.37762237762237766,0.9078947368421053
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,litepack,1.0,1.0,1.0,0.5591027716795604,0.5591027716795604,1169,0.9741666666666666,0.423841059602649,0.9166666666666666
6,What types of technology-based interventions are reviewed for reducing anxiety in youth?,similarity,1.0,1.0,1.0,0.5524683488739861,0.5524683488739861,1169,0.9741666666666666,0.6031746031746031,0.9310344827586207
6,What types of technology-based interventions are reviewed for reducing anxiety in youth?,mmr,1.0,1.0,1.0,0.489504197510806,0.489504197510806,1178,0.9816666666666667,0.59375,0.9310344827586207
6,What types of technology-based interventions are reviewed for reducing anxiety in youth?,litepack,1.0,1.0,1.0,0.489504197510806,0.489504197510806,1178,0.9816666666666667,0.6031746031746031,0.9310344827586207
7,What is the minimum efficacy threshold for eLi12 to be considered cost-effective in the treatment of bipolar disorder?,similarity,1.0,1.0,1.0,0.5820104841675077,0.5820104841675077,1195,0.9958333333333333,0.41025641025641024,1.0
7,What is the minimum efficacy threshold for eLi12 to be considered cost-effective in the treatment of bipolar disorder?,mmr,1.0,1.0,1.0,0.47153714050849277,0.47153714050849277,1188,0.99,0.37894736842105264,1.0
7,What is the minimum efficacy threshold for eLi12 to be considered cost-effective in the treatment of bipolar disorder?,litepack,1.0,1.0,1.0,0.4809794608089659,0.4809794608089659,1179,0.9825,0.6336633663366337,0.9459459459459459
8,What are the psychometric properties of the Turkish version of the PARDI-AR-Q for assessing ARFID in adolescents?,similarity,1.0,1.0,1.0,0.7717328923089164,0.7717328923089164,1107,0.9225,0.6000000000000001,0.9027777777777778
8,What are the psychometric properties of the Turkish version of the PARDI-AR-Q for assessing ARFID in adolescents?,mmr,1.0,1.0,1.0,0.6818744313149225,0.6818744313149225,1092,0.91,0.5562913907284768,0.8181818181818182
8,What are the psychometric properties of the Turkish version of the PARDI-AR-Q for assessing ARFID in adolescents?,litepack,1.0,1.0,1.0,0.7717328923089164,0.7717328923089164,1107,0.9225,0.5833333333333334,0.8846153846153846
9,How do self-management behaviors and depressive symptoms affect the risk of mild cognitive impairment in rural elderly w,similarity,1.0,1.0,1.0,0.6075763638530459,0.6075763638530459,1157,0.9641666666666666,0.4137931034482759,0.8918918918918919
9,How do self-management behaviors and depressive symptoms affect the risk of mild cognitive impairment in rural elderly w,mmr,1.0,1.0,1.0,0.48601073026657104,0.48601073026657104,1155,0.9625,0.4210526315789474,0.796875
9,How do self-management behaviors and depressive symptoms affect the risk of mild cognitive impairment in rural elderly w,litepack,1.0,1.0,1.0,0.5877665845411164,0.5877665845411164,1101,0.9175,0.3945578231292517,0.8108108108108109
10,What is the primary outcome of the MIndfulness-based Neurofeedback to Augment DBT Psychotherapy for Borderline Personali,similarity,1.0,1.0,1.0,0.6237293779850006,0.6237293779850006,1174,0.9783333333333334,0.5904761904761905,0.9361702127659575
10,What is the primary outcome of the MIndfulness-based Neurofeedback to Augment DBT Psychotherapy for Borderline Personali,mmr,1.0,1.0,1.0,0.5958463964717728,0.5958463964717728,1187,0.9891666666666666,0.5904761904761905,0.9361702127659575
10,What is the primary outcome of the MIndfulness-based Neurofeedback to Augment DBT Psychotherapy for Borderline Personali,litepack,1.0,1.0,1.0,0.5809839133705411,0.5809839133705411,1098,0.915,0.743801652892562,0.9666666666666667
11,What is the adjusted hazard ratio for neurodevelopmental disorders in children exposed to buprenorphine compared to thos,similarity,1.0,1.0,1.0,0.7033304614680154,0.7033304614680154,1182,0.985,0.36065573770491804,1.0
11,What is the adjusted hazard ratio for neurodevelopmental disorders in children exposed to buprenorphine compared to thos,mmr,1.0,1.0,1.0,0.6873296190585408,0.6873296190585408,1180,0.9833333333333333,0.36065573770491804,1.0
11,What is the adjusted hazard ratio for neurodevelopmental disorders in children exposed to buprenorphine compared to thos,litepack,1.0,1.0,1.0,0.6873296190585408,0.6873296190585408,1179,0.9825,0.4666666666666667,1.0
12,What were the preliminary clinical outcomes observed in participants using the mental wellness chatbot for depression an,similarity,1.0,1.0,1.0,0.6331254790226618,0.6331254790226618,1156,0.9633333333333334,0.5483870967741935,0.875
12,What were the preliminary clinical outcomes observed in participants using the mental wellness chatbot for depression an,mmr,1.0,1.0,1.0,0.6059477883908484,0.6059477883908484,1175,0.9791666666666666,0.6153846153846154,0.9310344827586207
12,What were the preliminary clinical outcomes observed in participants using the mental wellness chatbot for depression an,litepack,1.0,1.0,1.0,0.6212431788444519,0.6212431788444519,1134,0.945,0.5354330708661418,0.9107142857142857
13,How do cognitive therapy and short-term dynamic psychotherapy compare in effectiveness for patients with severe depressi,similarity,1.0,1.0,1.0,0.6063562780618668,0.6063562780618668,1192,0.9933333333333333,0.19047619047619047,0.8333333333333334
13,How do cognitive therapy and short-term dynamic psychotherapy compare in effectiveness for patients with severe depressi,mmr,1.0,1.0,1.0,0.5448981887764401,0.5448981887764401,1142,0.9516666666666667,0.21666666666666667,0.7681159420289855
13,How do cognitive therapy and short-term dynamic psychotherapy compare in effectiveness for patients with severe depressi,litepack,1.0,1.0,1.0,0.5544723462727335,0.5544723462727335,1086,0.905,0.21848739495798322,0.8115942028985508
14,How does the treatment with atypical antipsychotics affect plasma hydrogen sulfide levels and cognitive function in schi,similarity,1.0,1.0,1.0,0.5955818369984627,0.5955818369984627,1101,0.9175,0.3194444444444445,0.9375
14,How does the treatment with atypical antipsychotics affect plasma hydrogen sulfide levels and cognitive function in schi,mmr,1.0,1.0,1.0,0.5542351518358503,0.5542351518358503,1105,0.9208333333333333,0.38571428571428573,0.9459459459459459
14,How does the treatment with atypical antipsychotics affect plasma hydrogen sulfide levels and cognitive function in schi,litepack,1.0,1.0,1.0,0.599531671830586,0.599531671830586,1106,0.9216666666666666,0.3262411347517731,0.922077922077922
15,What are the neuropsychiatric adverse event reporting patterns associated with tacrolimus and cyclosporine in solid orga,similarity,1.0,1.0,1.0,0.5381304313029561,0.5381304313029561,1193,0.9941666666666666,0.3,0.8431372549019608
15,What are the neuropsychiatric adverse event reporting patterns associated with tacrolimus and cyclosporine in solid orga,mmr,1.0,1.0,1.0,0.5129834551896367,0.5129834551896367,1200,1.0,0.33870967741935487,0.8983050847457628
15,What are the neuropsychiatric adverse event reporting patterns associated with tacrolimus and cyclosporine in solid orga,litepack,1.0,1.0,1.0,0.5084802093250411,0.5084802093250411,1118,0.9316666666666666,0.33870967741935487,0.8983050847457628
16,How does the integration of fNIRS-guided neurofeedback and art therapy with cognitive behavioral therapy compare to stan,similarity,1.0,1.0,1.0,0.593505747616291,0.593505747616291,1157,0.9641666666666666,0.3195266272189349,0.8625
16,How does the integration of fNIRS-guided neurofeedback and art therapy with cognitive behavioral therapy compare to stan,mmr,1.0,1.0,1.0,0.5670128290851911,0.5670128290851911,1120,0.9333333333333333,0.27218934911242604,0.9036144578313253
16,How does the integration of fNIRS-guided neurofeedback and art therapy with cognitive behavioral therapy compare to stan,litepack,1.0,1.0,1.0,0.5676105957892206,0.5676105957892206,1109,0.9241666666666667,0.32530120481927716,0.8441558441558441
17,What are the effects of omega-3 fatty acids and chiropractic care on postpartum depression symptoms according to the stu,similarity,1.0,1.0,1.0,0.5677118791001183,0.5677118791001183,1110,0.925,0.6788990825688073,0.8260869565217391
17,What are the effects of omega-3 fatty acids and chiropractic care on postpartum depression symptoms according to the stu,mmr,1.0,1.0,1.0,0.5586415231227875,0.5586415231227875,1137,0.9475,0.6597938144329897,0.8648648648648649
17,What are the effects of omega-3 fatty acids and chiropractic care on postpartum depression symptoms according to the stu,litepack,1.0,1.0,1.0,0.5733032024332455,0.5733032024332455,1135,0.9458333333333333,0.6597938144329897,0.8648648648648649
18,What were the observed changes in emergency department visits and hospitalizations for patients undergoing mentalization,similarity,1.0,1.0,1.0,0.683612755366734,0.683612755366734,1178,0.9816666666666667,0.638655462184874,0.9803921568627451
18,What were the observed changes in emergency department visits and hospitalizations for patients undergoing mentalization,mmr,1.0,1.0,1.0,0.5783795991114208,0.5783795991114208,1182,0.985,0.39682539682539686,0.8524590163934426
18,What were the observed changes in emergency department visits and hospitalizations for patients undergoing mentalization,litepack,1.0,1.0,1.0,0.5999306600008693,0.5999306600008693,1129,0.9408333333333333,0.6333333333333332,0.9803921568627451
19,What is the effect of benzodiazepines on the recurrence risk of catatonia?,similarity,1.0,1.0,1.0,0.5811525790227784,0.5811525790227784,1170,0.975,0.6075949367088608,0.8928571428571429
19,What is the effect of benzodiazepines on the recurrence risk of catatonia?,mmr,1.0,1.0,1.0,0.5180218426717652,0.5180218426717652,1151,0.9591666666666666,0.3655913978494624,0.9024390243902439
19,What is the effect of benzodiazepines on the recurrence risk of catatonia?,litepack,1.0,1.0,1.0,0.5330411990483602,0.5330411990483602,1176,0.98,0.5301204819277108,0.9354838709677419
20,What roles do central resident immune cells play in neuropsychiatric disorders according to the abstract?,similarity,1.0,1.0,1.0,0.5451526931590505,0.5451526931590505,1198,0.9983333333333333,0.3508771929824561,0.8813559322033898
20,What roles do central resident immune cells play in neuropsychiatric disorders according to the abstract?,mmr,1.0,1.0,1.0,0.5152873407517161,0.5152873407517161,1100,0.9166666666666666,0.367816091954023,0.8648648648648649
20,What roles do central resident immune cells play in neuropsychiatric disorders according to the abstract?,litepack,1.0,1.0,1.0,0.5179651280244192,0.5179651280244192,1158,0.965,0.3508771929824561,0.8448275862068966
